epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.642,2.70649,3.83472,1.89906,0.01595,0.64115,0.01812,0.01105,1.30518,3.3441,1.09201,0.00012,0.00012,0.00012
2,84.5827,1.29976,2.22343,1.0072,0.01631,0.6555,0.5814,0.38915,1.28575,2.75087,1.04018,0.000256783,0.000256783,0.000256783
3,125.313,1.14312,1.26643,0.93894,0.82462,0.62993,0.62359,0.40249,1.30054,2.43158,1.02454,0.0003901,0.0003901,0.0003901
4,167.677,1.12375,1.11481,0.94401,0.99293,0.52632,0.60594,0.40125,1.30909,2.44602,1.01938,0.000519953,0.000519953,0.000519953
5,207.186,1.12158,1.02072,0.94321,0.01595,0.64115,0.21748,0.15835,1.16218,2.92049,1.01381,0.00064634,0.00064634,0.00064634
6,248.573,1.09921,0.95615,0.93461,0.01595,0.64115,0.14025,0.10309,1.14742,2.89378,0.99458,0.000769263,0.000769263,0.000769263
7,288.853,1.04924,0.93701,0.9287,0.76882,0.39782,0.46608,0.32653,1.2263,2.50856,1.0053,0.00088872,0.00088872,0.00088872
8,326.767,1.02384,0.86358,0.91413,0.91208,0.59564,0.62239,0.41928,1.28983,1.9532,0.99608,0.00100471,0.00100471,0.00100471
9,365.401,1.10292,0.91991,0.94846,0.93499,0.63158,0.64401,0.43181,1.277,1.90145,0.98853,0.00111724,0.00111724,0.00111724
10,404.883,1.06686,0.89576,0.92015,0.92832,0.62201,0.65687,0.43471,1.31374,1.67411,0.99332,0.0012263,0.0012263,0.0012263
11,444.181,1.05692,0.84756,0.91614,0.968,0.61722,0.67506,0.48131,1.16562,1.64665,0.9581,0.0013319,0.0013319,0.0013319
12,492.022,1.0634,0.85984,0.92917,0.96308,0.62414,0.70475,0.45387,1.30557,1.5457,0.98265,0.00143403,0.00143403,0.00143403
13,563.437,1.07121,0.81647,0.9206,0.96368,0.63482,0.7188,0.46414,1.26293,1.40705,0.99378,0.0015327,0.0015327,0.0015327
14,632.568,1.02645,0.7705,0.91929,0.95197,0.63636,0.79428,0.51818,1.16893,1.19804,0.99169,0.0016279,0.0016279,0.0016279
15,695.332,1.05081,0.78042,0.91647,0.88967,0.65592,0.81721,0.52428,1.16835,1.08244,1.00693,0.0016535,0.0016535,0.0016535
16,748.027,0.99459,0.7591,0.89503,0.89959,0.6859,0.8106,0.5309,1.1634,1.11945,0.98488,0.00162875,0.00162875,0.00162875
17,795.411,0.98644,0.74485,0.89751,0.88702,0.67617,0.80839,0.53868,1.11121,1.08567,0.98198,0.001604,0.001604,0.001604
18,841.083,0.94866,0.7282,0.89926,0.8723,0.67943,0.82858,0.5223,1.17971,0.92409,0.99064,0.00157925,0.00157925,0.00157925
19,886.265,0.978,0.72112,0.89167,0.8217,0.70563,0.82787,0.5314,1.1384,0.88205,0.98468,0.0015545,0.0015545,0.0015545
20,932.166,1.02255,0.74684,0.90733,0.94915,0.62518,0.82597,0.54714,1.10738,0.92378,0.97457,0.00152975,0.00152975,0.00152975
21,979.178,0.99232,0.71875,0.9022,0.92603,0.63636,0.83352,0.53894,1.13634,0.87965,0.99652,0.001505,0.001505,0.001505
22,1025.86,0.9825,0.69352,0.8951,0.78481,0.7799,0.84379,0.55851,1.09343,0.8249,0.983,0.00148025,0.00148025,0.00148025
23,1072.1,0.98296,0.70558,0.89535,0.92995,0.69871,0.84511,0.55472,1.12216,0.80032,0.99953,0.0014555,0.0014555,0.0014555
24,1117.7,0.99085,0.68744,0.87688,0.92957,0.66507,0.84184,0.54008,1.17325,0.83677,1.0047,0.00143075,0.00143075,0.00143075
25,1161.95,0.97929,0.69963,0.90038,0.95154,0.6555,0.85131,0.5399,1.17989,0.82195,1.0035,0.001406,0.001406,0.001406
26,1205.66,0.95819,0.68323,0.89649,0.92386,0.689,0.86153,0.5645,1.0991,0.74553,0.99254,0.00138125,0.00138125,0.00138125
27,1249.4,0.97509,0.66189,0.89138,0.86327,0.71292,0.84493,0.56286,1.08134,0.76209,0.98125,0.0013565,0.0013565,0.0013565
28,1292.85,0.98692,0.66575,0.89899,0.97081,0.63662,0.83789,0.54015,1.13173,0.80156,0.97913,0.00133175,0.00133175,0.00133175
29,1336.38,0.95054,0.6502,0.88503,0.88476,0.69796,0.85128,0.55618,1.09393,0.7839,0.97073,0.001307,0.001307,0.001307
30,1379.99,0.90564,0.63013,0.88087,0.96638,0.66507,0.87214,0.57151,1.08286,0.73559,0.9757,0.00128225,0.00128225,0.00128225
31,1423.72,0.92679,0.61989,0.8754,0.83778,0.84019,0.88867,0.5771,1.05572,0.71699,0.97265,0.0012575,0.0012575,0.0012575
32,1467.75,0.94714,0.62243,0.88825,0.85814,0.8134,0.88319,0.58196,1.08638,0.72607,0.98014,0.00123275,0.00123275,0.00123275
33,1512.19,0.95147,0.62502,0.89056,0.86865,0.80383,0.89064,0.57961,1.0876,0.70697,1.0032,0.001208,0.001208,0.001208
34,1555.89,0.88936,0.60978,0.87366,0.8596,0.77512,0.88473,0.57394,1.06805,0.69891,0.97672,0.00118325,0.00118325,0.00118325
35,1599.49,0.91711,0.61557,0.88849,0.88101,0.76555,0.87147,0.56595,1.06463,0.69959,0.99099,0.0011585,0.0011585,0.0011585
36,1646.68,0.91024,0.61249,0.8914,0.82534,0.79426,0.85903,0.56644,1.06171,0.69557,0.9732,0.00113375,0.00113375,0.00113375
37,1694.49,0.90504,0.61249,0.88514,0.79877,0.80861,0.85091,0.55865,1.0733,0.70633,0.98024,0.001109,0.001109,0.001109
38,1739.86,0.93241,0.60194,0.88191,0.85429,0.75598,0.86771,0.55132,1.0842,0.71913,0.98446,0.00108425,0.00108425,0.00108425
39,1786.76,0.92071,0.60189,0.88854,0.88633,0.70884,0.85336,0.56324,1.08307,0.72335,0.99057,0.0010595,0.0010595,0.0010595
40,1831.8,0.90331,0.61339,0.88491,0.81301,0.81132,0.87094,0.57072,1.09524,0.6855,0.98327,0.00103475,0.00103475,0.00103475
41,1875.93,0.90147,0.60098,0.87617,0.80829,0.79426,0.86127,0.58198,1.05636,0.68805,0.97749,0.00101,0.00101,0.00101
42,1919.42,0.88704,0.59239,0.88725,0.81515,0.75957,0.84264,0.56338,1.05501,0.73405,0.98155,0.00098525,0.00098525,0.00098525
43,1963.05,0.89298,0.55906,0.87788,0.87434,0.72727,0.8239,0.5574,1.04841,0.72936,0.97519,0.0009605,0.0009605,0.0009605
44,2006.2,0.86173,0.57135,0.87596,0.87559,0.74084,0.83256,0.55265,1.09102,0.76435,0.97421,0.00093575,0.00093575,0.00093575
45,2047.83,0.8995,0.58417,0.8837,0.85704,0.74641,0.84543,0.55907,1.07724,0.75565,0.97414,0.000911,0.000911,0.000911
46,2089.59,0.92713,0.59594,0.88341,0.84368,0.74892,0.86723,0.56964,1.07809,0.67318,0.97302,0.00088625,0.00088625,0.00088625
47,2130.96,0.92079,0.57913,0.88123,0.85207,0.79924,0.87796,0.58609,1.05217,0.66158,0.97303,0.0008615,0.0008615,0.0008615
48,2172.15,0.89908,0.55291,0.88154,0.85884,0.7799,0.87523,0.57739,1.05754,0.67351,0.9683,0.00083675,0.00083675,0.00083675
49,2213.57,0.90402,0.55663,0.88106,0.84538,0.7512,0.87204,0.57924,1.03381,0.68129,0.96696,0.000812,0.000812,0.000812
