epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.422,0.72171,0.49455,0.84775,0.86649,0.8134,0.90023,0.60566,1.03475,0.62763,0.97035,0.00038,0.00038,0.00038
2,205.519,0.74956,0.50516,0.85252,0.83429,0.79497,0.86347,0.56302,1.07865,0.68606,0.97205,0.000770348,0.000770348,0.000770348
3,305.726,0.74576,0.52642,0.85587,0.89175,0.78829,0.88567,0.58301,1.06107,0.60416,0.98125,0.0011508,0.0011508,0.0011508
4,408.225,0.7589,0.52595,0.85992,0.84986,0.78469,0.88132,0.57267,1.06648,0.6719,0.97471,0.00152134,0.00152134,0.00152134
5,515.165,0.78264,0.53293,0.86797,0.85053,0.8134,0.89076,0.5874,1.0692,0.62182,0.98323,0.00188199,0.00188199,0.00188199
6,620.476,0.82033,0.54664,0.87049,0.87585,0.82775,0.90991,0.59174,1.08372,0.63465,1.0007,0.00187625,0.00187625,0.00187625
7,730.505,0.79941,0.52604,0.86796,0.90685,0.83254,0.90657,0.59023,1.08895,0.63725,1.0249,0.0018515,0.0018515,0.0018515
8,840.592,0.81707,0.53473,0.87353,0.87705,0.82297,0.89378,0.58828,1.0731,0.59801,0.99597,0.00182675,0.00182675,0.00182675
9,949.974,0.79119,0.51659,0.86358,0.91835,0.75341,0.87885,0.59564,1.04473,0.6165,0.98263,0.001802,0.001802,0.001802
10,1060.45,0.76543,0.50691,0.85839,0.83726,0.83732,0.88644,0.57343,1.08918,0.6206,0.98602,0.00177725,0.00177725,0.00177725
11,1171.56,0.76507,0.50741,0.85468,0.88101,0.76555,0.89925,0.59627,1.03068,0.58677,0.98832,0.0017525,0.0017525,0.0017525
12,1282.28,0.7505,0.48446,0.85352,0.90808,0.83254,0.91124,0.614,1.05909,0.57599,0.98703,0.00172775,0.00172775,0.00172775
13,1388.23,0.75639,0.47343,0.8601,0.88303,0.83081,0.89479,0.58609,1.06863,0.58676,0.99186,0.001703,0.001703,0.001703
14,1494,0.72954,0.47444,0.86031,0.8933,0.82297,0.89949,0.5981,1.04259,0.55391,0.98145,0.00167825,0.00167825,0.00167825
15,1599.93,0.71329,0.46823,0.85685,0.90491,0.77408,0.89629,0.59321,1.04903,0.58129,0.98976,0.0016535,0.0016535,0.0016535
16,1705.94,0.73222,0.46698,0.84892,0.82877,0.83371,0.88818,0.58655,1.03685,0.6186,0.98813,0.00162875,0.00162875,0.00162875
17,1812.26,0.75869,0.47077,0.86245,0.85458,0.84689,0.9095,0.59072,1.10204,0.58497,0.99912,0.001604,0.001604,0.001604
18,1918.87,0.74267,0.47298,0.85304,0.92371,0.79426,0.91338,0.60183,1.0592,0.56026,0.97889,0.00157925,0.00157925,0.00157925
19,2024.39,0.75386,0.47606,0.8584,0.91543,0.78947,0.91336,0.60025,1.05649,0.53207,0.98118,0.0015545,0.0015545,0.0015545
20,2129.95,0.71761,0.4544,0.85389,0.84356,0.88517,0.90212,0.60002,1.07792,0.54586,0.99903,0.00152975,0.00152975,0.00152975
21,2235.34,0.76093,0.47192,0.87135,0.84375,0.88038,0.89893,0.59349,1.0843,0.55151,0.99893,0.001505,0.001505,0.001505
22,2344.42,0.74098,0.45747,0.85749,0.87327,0.85727,0.91124,0.60391,1.04588,0.54875,0.9846,0.00148025,0.00148025,0.00148025
23,2450.24,0.70535,0.44007,0.84526,0.89773,0.79797,0.9063,0.61962,1.04547,0.54742,0.9852,0.0014555,0.0014555,0.0014555
24,2556.26,0.7232,0.45193,0.85722,0.91415,0.81523,0.90566,0.61158,1.04516,0.55035,1.00274,0.00143075,0.00143075,0.00143075
25,2675.8,0.70671,0.45256,0.85501,0.87913,0.87006,0.91607,0.61133,1.06697,0.53994,1.00776,0.001406,0.001406,0.001406
26,2804.26,0.71934,0.45389,0.85449,0.8696,0.8756,0.91275,0.60501,1.07441,0.57595,0.99349,0.00138125,0.00138125,0.00138125
27,2927.24,0.70515,0.44449,0.85158,0.86214,0.86778,0.90366,0.60516,1.0349,0.57487,0.99551,0.0013565,0.0013565,0.0013565
28,3059.65,0.72691,0.44623,0.85209,0.85181,0.86124,0.90323,0.58916,1.07476,0.56452,1.00017,0.00133175,0.00133175,0.00133175
29,3182.03,0.68986,0.43405,0.8444,0.87874,0.86684,0.92222,0.61951,1.03785,0.5052,0.98957,0.001307,0.001307,0.001307
30,3291.03,0.66245,0.4091,0.83801,0.88738,0.82943,0.90899,0.60874,1.03311,0.51385,0.9955,0.00128225,0.00128225,0.00128225
31,3395.09,0.70071,0.42841,0.84299,0.90739,0.79695,0.89643,0.6109,1.05396,0.51612,1.00889,0.0012575,0.0012575,0.0012575
32,3499.68,0.69723,0.41772,0.84207,0.87439,0.86603,0.91221,0.61613,1.03926,0.5231,0.99596,0.00123275,0.00123275,0.00123275
33,3603.91,0.67924,0.41353,0.84789,0.89487,0.85526,0.91376,0.61486,1.03833,0.49172,0.99893,0.001208,0.001208,0.001208
34,3709.2,0.68562,0.42202,0.84827,0.92402,0.84211,0.91721,0.6122,1.04162,0.5045,0.99727,0.00118325,0.00118325,0.00118325
35,3814.38,0.6775,0.40979,0.84929,0.90573,0.8756,0.91479,0.61635,1.02121,0.50103,1.00028,0.0011585,0.0011585,0.0011585
36,3915.05,0.68357,0.4108,0.84751,0.91677,0.86603,0.92332,0.62163,1.04145,0.49573,1.00535,0.00113375,0.00113375,0.00113375
37,4016.87,0.69044,0.40932,0.84492,0.90574,0.87358,0.91898,0.61913,1.03576,0.48871,0.99912,0.001109,0.001109,0.001109
38,4120.09,0.6601,0.39866,0.84289,0.91981,0.88038,0.9127,0.62118,1.04429,0.49986,1.00852,0.00108425,0.00108425,0.00108425
39,4223.1,0.66949,0.40051,0.85001,0.88667,0.86102,0.90494,0.61177,1.03708,0.50552,0.99815,0.0010595,0.0010595,0.0010595
40,4326.72,0.69599,0.41842,0.84743,0.88378,0.8732,0.90704,0.60835,1.04437,0.51268,1.00115,0.00103475,0.00103475,0.00103475
41,4429.67,0.64658,0.39652,0.83718,0.89086,0.86603,0.91531,0.61803,1.02885,0.48964,0.9983,0.00101,0.00101,0.00101
42,4532.39,0.66617,0.39389,0.84219,0.86322,0.88517,0.92322,0.62224,1.03504,0.48489,1.00627,0.00098525,0.00098525,0.00098525
43,4636.19,0.63925,0.38595,0.84044,0.88819,0.87081,0.92493,0.62432,1.02746,0.47145,0.99634,0.0009605,0.0009605,0.0009605
44,4739.58,0.64109,0.38217,0.83567,0.89241,0.87307,0.92241,0.61698,1.03335,0.48081,0.99246,0.00093575,0.00093575,0.00093575
45,4843.6,0.6594,0.39007,0.83872,0.91195,0.84248,0.91774,0.61199,1.0479,0.4757,1.00427,0.000911,0.000911,0.000911
46,4947.39,0.66679,0.38995,0.83458,0.89276,0.87635,0.91982,0.61281,1.04462,0.49616,0.99325,0.00088625,0.00088625,0.00088625
47,5052.06,0.65728,0.38075,0.84097,0.88133,0.89474,0.92246,0.62529,1.00468,0.48189,0.98868,0.0008615,0.0008615,0.0008615
48,5156.75,0.65753,0.3915,0.84011,0.90234,0.88419,0.92472,0.62115,1.01188,0.4859,0.9903,0.00083675,0.00083675,0.00083675
49,5261.16,0.62905,0.37012,0.83888,0.89224,0.8716,0.91623,0.62433,1.0049,0.46652,0.98314,0.000812,0.000812,0.000812
50,5365.82,0.63082,0.37146,0.83678,0.89539,0.8756,0.92635,0.62395,1.02288,0.46868,0.9871,0.00078725,0.00078725,0.00078725
51,5471.24,0.62475,0.36444,0.82884,0.88334,0.88995,0.91321,0.6255,1.02218,0.47598,0.99671,0.0007625,0.0007625,0.0007625
52,5576.03,0.63211,0.36968,0.83565,0.89362,0.8756,0.92386,0.63012,1.00029,0.46316,0.98684,0.00073775,0.00073775,0.00073775
53,5680.96,0.6428,0.37586,0.83509,0.92049,0.83091,0.92676,0.6269,1.02634,0.4695,0.98994,0.000713,0.000713,0.000713
54,5786.46,0.64415,0.3789,0.83375,0.90121,0.88995,0.9284,0.62266,1.02192,0.46807,0.9919,0.00068825,0.00068825,0.00068825
55,5892.28,0.63428,0.37155,0.83251,0.8928,0.88038,0.91861,0.61527,1.04982,0.48538,1.00426,0.0006635,0.0006635,0.0006635
56,5998.33,0.64622,0.37501,0.83543,0.87813,0.88517,0.91098,0.61809,1.03571,0.49241,0.99304,0.00063875,0.00063875,0.00063875
57,6103.52,0.62967,0.36753,0.83814,0.90998,0.88995,0.91995,0.61653,1.04033,0.47496,0.99587,0.000614,0.000614,0.000614
58,6209.14,0.61337,0.35489,0.83243,0.92336,0.8647,0.92283,0.62198,1.03465,0.46113,0.99811,0.00058925,0.00058925,0.00058925
59,6314.53,0.64283,0.36572,0.83218,0.93294,0.86124,0.92736,0.62405,1.02527,0.46045,1.0007,0.0005645,0.0005645,0.0005645
60,6419.93,0.64115,0.36422,0.83738,0.91494,0.88517,0.92302,0.62234,1.01225,0.45776,0.99366,0.00053975,0.00053975,0.00053975
61,6524.66,0.6306,0.35361,0.83756,0.9061,0.87724,0.92011,0.62021,1.01829,0.45548,0.99336,0.000515,0.000515,0.000515
62,6629.75,0.62872,0.35564,0.83098,0.88785,0.87117,0.91642,0.62523,1.01438,0.4671,0.99586,0.00049025,0.00049025,0.00049025
63,6735.68,0.62484,0.35212,0.8332,0.89781,0.88276,0.92716,0.6282,1.00732,0.46517,0.98632,0.0004655,0.0004655,0.0004655
64,6840.81,0.62465,0.35511,0.83694,0.88487,0.88258,0.9219,0.62283,1.02194,0.45759,0.99176,0.00044075,0.00044075,0.00044075
65,6946.75,0.60516,0.34361,0.83222,0.89819,0.89474,0.91764,0.62156,1.01847,0.46469,0.99468,0.000416,0.000416,0.000416
66,7052.57,0.60891,0.34798,0.83072,0.90729,0.88038,0.92274,0.6255,1.01249,0.46045,0.99691,0.00039125,0.00039125,0.00039125
67,7158.92,0.61077,0.34779,0.83383,0.90169,0.87768,0.91681,0.62095,1.02545,0.45933,0.9986,0.0003665,0.0003665,0.0003665
68,7264.65,0.60044,0.34552,0.83142,0.9034,0.88038,0.92233,0.62562,1.02841,0.46785,0.99093,0.00034175,0.00034175,0.00034175
69,7370.29,0.5914,0.33973,0.82922,0.90482,0.8756,0.91536,0.63243,1.01874,0.45828,0.98782,0.000317,0.000317,0.000317
70,7475.03,0.59747,0.3466,0.82814,0.89743,0.87917,0.91323,0.62824,1.01466,0.45952,0.98584,0.00029225,0.00029225,0.00029225
71,7578.15,0.59182,0.33986,0.82834,0.9099,0.87081,0.90594,0.61799,1.03182,0.46244,0.99275,0.0002675,0.0002675,0.0002675
72,7680.95,0.58331,0.33154,0.8235,0.89672,0.87081,0.91218,0.6203,1.0307,0.46322,0.99496,0.00024275,0.00024275,0.00024275
73,7784.05,0.56906,0.3278,0.82509,0.89294,0.87792,0.92385,0.62794,1.01972,0.4514,0.99752,0.000218,0.000218,0.000218
74,7887.28,0.57579,0.32984,0.81819,0.90557,0.87081,0.92255,0.62304,1.02619,0.45011,0.99259,0.00019325,0.00019325,0.00019325
75,7990.23,0.56304,0.32709,0.812,0.90614,0.87081,0.91558,0.623,1.03337,0.45935,0.9989,0.0001685,0.0001685,0.0001685
76,8092.81,0.57758,0.32732,0.8228,0.91651,0.8756,0.91472,0.62239,1.02873,0.45586,0.9992,0.00014375,0.00014375,0.00014375
77,8195.85,0.55466,0.31967,0.81757,0.92967,0.88995,0.92707,0.62598,1.0188,0.45363,0.99431,0.000119,0.000119,0.000119
78,8298.82,0.56153,0.31808,0.8159,0.91036,0.8756,0.92216,0.62603,1.02797,0.45657,0.99535,9.425e-05,9.425e-05,9.425e-05
79,8401.77,0.55706,0.31488,0.82398,0.90142,0.88038,0.92035,0.62266,1.02872,0.4527,0.99489,6.95e-05,6.95e-05,6.95e-05
80,8505.13,0.55731,0.31306,0.81597,0.90856,0.88517,0.92086,0.62705,1.02422,0.44962,0.992,4.475e-05,4.475e-05,4.475e-05
