epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.239,2.20171,3.92786,1.53303,0.0036,0.31777,0.08238,0.02551,1.51624,3.70581,1.07726,0.00012861,0.00012861,0.00012861
2,251.129,1.40074,3.13811,1.03268,0.0048,0.32212,0.17994,0.1024,1.20079,3.62584,1.00575,0.000268822,0.000268822,0.000268822
3,372.271,1.37081,2.57697,0.99069,0.01031,0.33655,0.2226,0.10245,1.13692,3.53106,0.98657,0.000406205,0.000406205,0.000406205
4,487.337,1.37185,1.97743,0.99133,0.01453,0.34679,0.20737,0.13639,1.19594,3.34386,0.9896,0.000540758,0.000540758,0.000540758
5,612.636,1.35662,1.61483,0.99985,0.06643,0.57705,0.40839,0.2714,1.21524,3.0064,0.9737,0.000672482,0.000672482,0.000672482
6,740.192,1.35579,1.55246,0.99165,0.06829,0.5873,0.40897,0.28148,1.16724,2.77972,0.95133,0.000801376,0.000801376,0.000801376
7,862.264,1.32855,1.46612,0.97273,0.06951,0.5895,0.45179,0.32041,1.19089,2.56487,0.95799,0.000927441,0.000927441,0.000927441
8,985.823,1.36115,1.40966,0.97572,0.17712,0.58763,0.49404,0.37418,1.17918,2.46518,0.96084,0.00105068,0.00105068,0.00105068
9,1108.6,1.34778,1.34925,0.97233,0.89974,0.21109,0.47998,0.34257,1.2383,2.35317,0.98198,0.00117108,0.00117108,0.00117108
10,1235.06,1.35458,1.26736,0.96675,0.77258,0.40106,0.5381,0.36814,1.21131,1.91974,1.00254,0.00128866,0.00128866,0.00128866
11,1358.31,1.36249,1.25524,0.98582,0.87336,0.36701,0.53197,0.36947,1.27002,1.71205,1.00409,0.00128753,0.00128753,0.00128753
12,1483.98,1.36485,1.2045,0.98274,0.89456,0.44789,0.55811,0.40724,1.28325,1.6352,1.00988,0.00127338,0.00127338,0.00127338
13,1605.12,1.33943,1.19694,0.9889,0.86645,0.48508,0.60367,0.43435,1.34022,1.50449,1.00634,0.00125923,0.00125923,0.00125923
14,1734.09,1.33157,1.14019,0.98639,0.80318,0.52223,0.64721,0.44781,1.22625,1.33075,1.00593,0.00124509,0.00124509,0.00124509
15,1861.84,1.29799,1.09386,0.97325,0.74007,0.50458,0.64284,0.44843,1.25679,1.18161,0.99483,0.00123094,0.00123094,0.00123094
16,1988.67,1.32647,1.0719,0.96414,0.66484,0.53077,0.59927,0.39512,1.23977,1.13341,0.99811,0.00121679,0.00121679,0.00121679
17,2118.55,1.32221,1.05655,0.97419,0.66481,0.5523,0.62624,0.43279,1.20549,1.0667,0.99248,0.00120265,0.00120265,0.00120265
18,2244.87,1.28633,1.03938,0.96546,0.65081,0.60469,0.64386,0.45655,1.22839,1.03847,0.99114,0.0011885,0.0011885,0.0011885
19,2372.28,1.2679,0.9914,0.95618,0.68921,0.61024,0.66861,0.48152,1.18403,0.98335,0.98515,0.00117435,0.00117435,0.00117435
20,2500.78,1.31117,0.98392,0.9674,0.6532,0.61007,0.66099,0.44912,1.23567,1.02129,0.99392,0.00116021,0.00116021,0.00116021
21,2629.41,1.33585,1.01472,0.97839,0.57583,0.58893,0.62143,0.41811,1.24548,0.98356,0.98911,0.00114606,0.00114606,0.00114606
22,2754.48,1.29096,0.98217,0.97869,0.70563,0.65125,0.70271,0.48821,1.19057,0.93323,0.9846,0.00113191,0.00113191,0.00113191
23,2883.84,1.3226,0.98579,0.98365,0.71371,0.66605,0.72064,0.50276,1.22718,0.96656,0.98859,0.00111776,0.00111776,0.00111776
24,3009.06,1.29566,0.96727,0.9642,0.69644,0.68074,0.72182,0.50606,1.16871,0.91581,0.97475,0.00110362,0.00110362,0.00110362
25,3135.03,1.25332,0.95045,0.9676,0.6831,0.69975,0.73218,0.51051,1.18027,0.91982,0.97553,0.00108947,0.00108947,0.00108947
26,3274.48,1.28835,0.91996,0.95438,0.71021,0.67494,0.71705,0.52148,1.16468,0.87285,0.97193,0.00107532,0.00107532,0.00107532
27,3396.08,1.32025,0.94932,0.96658,0.68753,0.64702,0.6924,0.48407,1.23176,0.93014,0.9806,0.00106118,0.00106118,0.00106118
28,3504.24,1.25654,0.91185,0.95687,0.73481,0.66232,0.71678,0.51661,1.14412,0.8941,0.96522,0.00104703,0.00104703,0.00104703
29,3611.88,1.23632,0.88148,0.94391,0.73953,0.65926,0.7267,0.51753,1.14109,0.90471,0.96532,0.00103288,0.00103288,0.00103288
30,3732.36,1.26925,0.92197,0.95485,0.75549,0.67219,0.74202,0.52836,1.1844,0.87079,0.971,0.00101873,0.00101873,0.00101873
31,3849.21,1.23367,0.89233,0.95029,0.74257,0.71666,0.74299,0.53504,1.15296,0.86705,0.96922,0.00100459,0.00100459,0.00100459
32,3970.26,1.21871,0.8616,0.94685,0.70724,0.71389,0.73484,0.51964,1.16448,0.85659,0.97159,0.00099044,0.00099044,0.00099044
33,4093.17,1.25372,0.86687,0.95414,0.77507,0.64763,0.72084,0.51883,1.16228,0.83899,0.97075,0.000976293,0.000976293,0.000976293
34,4216.58,1.22434,0.85265,0.94831,0.772,0.67339,0.72266,0.52539,1.14306,0.81048,0.96543,0.000962146,0.000962146,0.000962146
35,4333.66,1.19622,0.80796,0.9406,0.72656,0.68848,0.74305,0.52939,1.15091,0.80376,0.9687,0.000947999,0.000947999,0.000947999
36,4454.04,1.21708,0.82689,0.94467,0.7032,0.69177,0.74528,0.53789,1.1276,0.79668,0.96571,0.000933851,0.000933851,0.000933851
37,4577.01,1.22281,0.83838,0.95491,0.7251,0.70536,0.75142,0.54351,1.14675,0.80697,0.96573,0.000919704,0.000919704,0.000919704
38,4701.3,1.24213,0.84419,0.97203,0.73633,0.71276,0.747,0.53893,1.16958,0.80169,0.97311,0.000905557,0.000905557,0.000905557
39,4822.36,1.25242,0.84987,0.96629,0.75745,0.72232,0.76707,0.54732,1.1367,0.80213,0.96625,0.00089141,0.00089141,0.00089141
40,4945.16,1.24222,0.82511,0.94922,0.6826,0.74468,0.75212,0.54018,1.15322,0.82447,0.96815,0.000877263,0.000877263,0.000877263
41,5071.11,1.21352,0.79417,0.93797,0.70259,0.74388,0.75963,0.52361,1.18189,0.83712,0.97292,0.000863116,0.000863116,0.000863116
42,5193.81,1.20651,0.78464,0.94628,0.7742,0.7191,0.75457,0.55127,1.17025,0.78188,0.96968,0.000848969,0.000848969,0.000848969
43,5314.66,1.22622,0.82168,0.95423,0.76051,0.72885,0.75944,0.52525,1.17048,0.80342,0.97432,0.000834822,0.000834822,0.000834822
44,5438.76,1.23554,0.78326,0.94636,0.77062,0.72351,0.7683,0.54716,1.15273,0.78314,0.96691,0.000820675,0.000820675,0.000820675
45,5559.23,1.22545,0.79337,0.95391,0.771,0.73569,0.76145,0.54317,1.15232,0.78802,0.96707,0.000806528,0.000806528,0.000806528
46,5681.72,1.20012,0.78028,0.93958,0.73565,0.74607,0.76057,0.53834,1.14144,0.76675,0.96671,0.00079238,0.00079238,0.00079238
