epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.1305,1.10257,2.28223,1.00372,0.7168,0.65952,0.72259,0.52666,0.96927,0.78726,0.96428,0.00012861,0.00012861,0.00012861
2,136.424,1.07638,1.38176,0.98772,0.79516,0.68014,0.74955,0.52136,0.99873,0.66264,0.98433,0.000268822,0.000268822,0.000268822
3,219.563,1.06913,1.04063,0.98982,0.70232,0.73771,0.71842,0.47721,1.0273,0.83803,1.00301,0.000406205,0.000406205,0.000406205
4,311.847,1.09333,0.82375,1.02136,0.65911,0.74657,0.7426,0.48604,1.0163,0.90053,1.01519,0.000540758,0.000540758,0.000540758
5,388.241,1.10649,0.73201,1.04858,0.67757,0.7839,0.77315,0.48047,1.00813,0.97647,1.02602,0.000672482,0.000672482,0.000672482
6,466.243,1.09982,0.67646,1.02079,0.73355,0.76716,0.79168,0.52149,1.02338,1.01921,1.03184,0.000801376,0.000801376,0.000801376
7,543.332,1.05519,0.63677,1.00612,0.82176,0.7925,0.79993,0.54537,1.0103,0.76011,1.02562,0.000927441,0.000927441,0.000927441
8,624.759,1.05859,0.61903,0.9915,0.86845,0.77169,0.82103,0.55538,1.02445,0.64026,1.02593,0.00105068,0.00105068,0.00105068
9,709.526,1.0797,0.59715,0.99839,0.88625,0.75934,0.82492,0.55529,1.03165,0.63048,1.02087,0.00117108,0.00117108,0.00117108
10,794.265,1.07512,0.58508,0.9846,0.87895,0.76239,0.82839,0.53302,1.05324,0.6251,1.02075,0.00128866,0.00128866,0.00128866
11,871.597,1.06448,0.59643,0.99498,0.93721,0.73301,0.83486,0.55937,1.0155,0.58892,1.00732,0.00128753,0.00128753,0.00128753
12,948.792,1.04636,0.58381,0.98569,0.90081,0.75948,0.837,0.56794,0.99377,0.56768,0.99979,0.00127338,0.00127338,0.00127338
13,1025.42,1.05134,0.57868,0.99609,0.88907,0.76462,0.83885,0.58162,1.03761,0.56473,1.00313,0.00125923,0.00125923,0.00125923
14,1105.14,1.06413,0.57568,0.99547,0.90571,0.7673,0.84588,0.59429,0.9995,0.5388,0.99598,0.00124509,0.00124509,0.00124509
15,1179.85,1.02991,0.56259,0.97741,0.91321,0.77177,0.84906,0.59795,0.98299,0.53039,0.99036,0.00123094,0.00123094,0.00123094
16,1256.43,1.0308,0.55673,0.96434,0.90457,0.77496,0.84665,0.5876,0.99594,0.53056,0.99566,0.00121679,0.00121679,0.00121679
17,1334.47,1.05436,0.56138,0.98904,0.88891,0.78994,0.84297,0.59135,1.00982,0.52822,0.99456,0.00120265,0.00120265,0.00120265
18,1411.09,1.02371,0.55662,0.97356,0.90166,0.76991,0.84122,0.58552,1.00589,0.52367,1.00282,0.0011885,0.0011885,0.0011885
19,1486.79,1.01032,0.53545,0.96814,0.90485,0.77234,0.83936,0.57797,0.9818,0.51971,0.99046,0.00117435,0.00117435,0.00117435
20,1561.55,1.02518,0.53496,0.97124,0.92086,0.76661,0.83542,0.56655,0.99741,0.53099,0.99461,0.00116021,0.00116021,0.00116021
21,1636.24,1.01922,0.53802,0.9808,0.91317,0.77159,0.8406,0.58615,0.97687,0.52202,0.98426,0.00114606,0.00114606,0.00114606
22,1709.44,1.01183,0.5388,0.98387,0.9145,0.77792,0.84624,0.59413,0.99085,0.52755,0.99014,0.00113191,0.00113191,0.00113191
23,1796.71,1.04795,0.55009,0.9851,0.90647,0.77766,0.84508,0.58977,0.99747,0.53235,0.99068,0.00111776,0.00111776,0.00111776
24,1870.82,1.0219,0.53874,0.97353,0.88955,0.77865,0.83949,0.59168,1.0071,0.52821,0.98971,0.00110362,0.00110362,0.00110362
25,1944.85,1.01641,0.53597,0.97595,0.90456,0.77699,0.844,0.59118,0.98032,0.51845,0.98262,0.00108947,0.00108947,0.00108947
26,2023.25,1.02904,0.52359,0.96754,0.90902,0.77986,0.85069,0.59501,0.99001,0.51727,0.9873,0.00107532,0.00107532,0.00107532
27,2112.38,1.02593,0.52777,0.9703,0.89336,0.78924,0.848,0.58461,0.9722,0.51205,0.98488,0.00106118,0.00106118,0.00106118
28,2213.06,1.01105,0.52088,0.97165,0.90852,0.78468,0.85043,0.59753,0.985,0.51044,0.98295,0.00104703,0.00104703,0.00104703
29,2302.52,0.99354,0.51182,0.95837,0.88914,0.78614,0.84983,0.58783,0.98489,0.50744,0.98191,0.00103288,0.00103288,0.00103288
30,2389.8,1.00236,0.52802,0.95847,0.89514,0.7929,0.8532,0.59561,0.98703,0.5033,0.98209,0.00101873,0.00101873,0.00101873
31,2479.88,0.99872,0.51408,0.96292,0.91076,0.7868,0.8527,0.58497,0.97305,0.50434,0.97803,0.00100459,0.00100459,0.00100459
32,2563.24,0.99951,0.50847,0.96366,0.89093,0.7762,0.84774,0.60242,0.98097,0.50456,0.97719,0.00099044,0.00099044,0.00099044
33,2656.02,1.01262,0.51653,0.96488,0.90885,0.76057,0.83926,0.59585,0.98464,0.5083,0.98133,0.000976293,0.000976293,0.000976293
34,2748.79,0.98854,0.50058,0.95679,0.90661,0.76385,0.83811,0.59313,0.97295,0.49911,0.97886,0.000962146,0.000962146,0.000962146
35,2838.02,0.99409,0.4975,0.96218,0.91338,0.76521,0.84222,0.5801,0.97723,0.49706,0.98097,0.000947999,0.000947999,0.000947999
36,2929.28,0.99049,0.49809,0.9575,0.9115,0.7789,0.84902,0.59833,0.97476,0.48798,0.9761,0.000933851,0.000933851,0.000933851
37,3022.69,1.0043,0.50506,0.96954,0.89672,0.78728,0.84755,0.59495,0.9786,0.49167,0.97727,0.000919704,0.000919704,0.000919704
38,3117.15,1.0058,0.50596,0.97786,0.90403,0.78729,0.84896,0.59642,0.98074,0.49313,0.97925,0.000905557,0.000905557,0.000905557
39,3202.17,1.02277,0.50835,0.97522,0.90113,0.78892,0.84876,0.59045,1.01579,0.50259,0.98271,0.00089141,0.00089141,0.00089141
40,3294.72,0.98644,0.49565,0.95217,0.90148,0.79031,0.84956,0.58068,1.00071,0.50176,0.98569,0.000877263,0.000877263,0.000877263
41,3389.71,0.99875,0.48821,0.95887,0.8904,0.7889,0.84763,0.58573,0.99248,0.49575,0.98453,0.000863116,0.000863116,0.000863116
42,3476.92,0.99595,0.48781,0.96015,0.86522,0.81036,0.85121,0.60334,0.98879,0.49329,0.9821,0.000848969,0.000848969,0.000848969
43,3562.86,0.99208,0.49671,0.96218,0.88077,0.80929,0.85339,0.60126,0.97818,0.4877,0.98199,0.000834822,0.000834822,0.000834822
44,3643.42,1.0197,0.48978,0.96537,0.8836,0.79968,0.85494,0.6048,0.98295,0.49697,0.97906,0.000820675,0.000820675,0.000820675
45,3732.45,0.98346,0.49471,0.96318,0.89418,0.79855,0.85366,0.60231,0.99449,0.491,0.97798,0.000806528,0.000806528,0.000806528
46,3823.09,0.97871,0.48671,0.95139,0.8761,0.79924,0.84885,0.59733,0.98775,0.48689,0.97911,0.00079238,0.00079238,0.00079238
47,3917.98,0.98809,0.48742,0.95688,0.90188,0.79246,0.84662,0.5923,0.97452,0.48224,0.97343,0.000778233,0.000778233,0.000778233
48,4004.78,0.9915,0.48782,0.9557,0.88492,0.80215,0.85363,0.60312,0.97494,0.47618,0.97113,0.000764086,0.000764086,0.000764086
49,4087.96,0.97817,0.47697,0.94899,0.89668,0.78211,0.84691,0.59943,0.97797,0.4801,0.97537,0.000749939,0.000749939,0.000749939
50,4173.43,0.96248,0.48166,0.95351,0.89253,0.78376,0.84503,0.59613,0.9916,0.48246,0.97773,0.000735792,0.000735792,0.000735792
51,4262.52,1.00127,0.48584,0.96704,0.89352,0.78653,0.84474,0.59425,0.97812,0.48025,0.97307,0.000721645,0.000721645,0.000721645
52,4353.59,0.96206,0.47723,0.95091,0.89076,0.78083,0.84283,0.59491,0.98324,0.48254,0.97791,0.000707498,0.000707498,0.000707498
53,4442.57,0.95966,0.475,0.94978,0.91255,0.7756,0.84556,0.59525,0.9695,0.4789,0.97191,0.000693351,0.000693351,0.000693351
54,4535.6,0.98347,0.4827,0.95283,0.87768,0.79552,0.84874,0.58968,0.99215,0.48725,0.98362,0.000679204,0.000679204,0.000679204
55,4622.96,0.99971,0.48584,0.95971,0.90716,0.77749,0.84624,0.58431,0.97342,0.48049,0.9782,0.000665057,0.000665057,0.000665057
56,4713.94,0.97176,0.48401,0.9523,0.89496,0.76482,0.82997,0.58674,0.97881,0.4924,0.97449,0.000650909,0.000650909,0.000650909
57,4808.01,0.9921,0.4979,0.95212,0.91421,0.77243,0.84168,0.59455,0.96856,0.48053,0.97327,0.000636762,0.000636762,0.000636762
58,4908.07,0.98666,0.47822,0.94267,0.90212,0.78591,0.83971,0.5908,0.99725,0.48876,0.97682,0.000622615,0.000622615,0.000622615
59,4995.6,0.98082,0.48064,0.95595,0.90437,0.77841,0.83887,0.5966,0.99811,0.48308,0.97655,0.000608468,0.000608468,0.000608468
