epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,235.796,1.81887,3.18042,1.43225,0.02285,0.60367,0.10578,0.0475,0.61722,166.699,0.50407,0.00044299,0.00044299,0.00044299
2,3876.31,1.40285,2.17175,1.11607,0.43796,0.61001,0.143,0.08357,0.5809,222.771,0.4684,0.000889129,0.000889129,0.000889129
3,33151.9,1.31966,6.53746,1.06659,0.4576,0.43288,0.12539,0.06525,0.6103,307.922,0.49932,0.00132395,0.00132395,0.00132395
4,54320.8,1.39475,2.3709,1.11807,0.4516,0.4431,0.12233,0.06011,0.60671,446.867,0.48799,0.00137595,0.00137595,0.00137595
5,54553.5,1.34937,2.02093,1.06889,0.44937,0.4643,0.13069,0.07385,0.58328,789.836,0.48009,0.00135826,0.00135826,0.00135826
6,54786.7,1.35299,2.03028,1.07258,0.16441,0.60435,0.16789,0.07884,0.56592,429.796,0.45909,0.00134058,0.00134058,0.00134058
7,55018.9,1.31598,1.95271,1.0588,0.18669,0.61032,0.16138,0.09776,0.56609,669.041,0.45815,0.0013229,0.0013229,0.0013229
8,55262.5,1.3094,1.99068,1.05994,0.16843,0.57756,0.15838,0.07436,0.58007,532.14,0.46363,0.00130521,0.00130521,0.00130521
9,55504.9,1.32527,1.85466,1.07277,0.1678,0.58305,0.15015,0.06053,0.57754,687.084,0.47138,0.00128753,0.00128753,0.00128753
10,55751.9,1.32597,1.873,1.06827,0.20524,0.5995,0.18397,0.11657,0.56902,469.889,0.45206,0.00126985,0.00126985,0.00126985
11,55997.2,1.32205,1.8865,1.06513,0.20397,0.44293,0.17602,0.09627,0.59809,386.245,0.46296,0.00125216,0.00125216,0.00125216
12,56244.4,1.30257,1.87593,1.05331,0.47455,0.41088,0.19827,0.09845,0.55901,499.601,0.45512,0.00123448,0.00123448,0.00123448
13,56491.8,1.26495,1.86076,1.05282,0.19922,0.61224,0.18408,0.1042,0.56775,345.081,0.45418,0.00121679,0.00121679,0.00121679
14,56740.1,1.2969,1.8957,1.05483,0.1921,0.53801,0.19107,0.11082,0.57305,279.244,0.47274,0.00119911,0.00119911,0.00119911
15,57002.3,1.32209,1.90193,1.08464,0.16478,0.75071,0.18679,0.10771,0.54948,969.448,0.45517,0.00118143,0.00118143,0.00118143
16,57304.7,1.31041,2.65696,1.04207,0.23264,0.62249,0.21826,0.13299,0.57385,462.035,0.45802,0.00116374,0.00116374,0.00116374
17,57616,1.31315,1.74994,1.05321,0.25018,0.57137,0.24124,0.15668,0.57029,560.82,0.45933,0.00114606,0.00114606,0.00114606
18,57997.3,1.28088,1.73286,1.0339,0.25132,0.58463,0.24725,0.15203,0.55154,571.807,0.43999,0.00112837,0.00112837,0.00112837
19,58355.8,1.25025,1.77309,1.03032,0.19414,0.67168,0.20752,0.12486,0.5494,551.205,0.44521,0.00111069,0.00111069,0.00111069
20,58690.8,1.27432,1.73388,1.02792,0.24469,0.54157,0.26958,0.16924,0.54897,259.17,0.44141,0.00109301,0.00109301,0.00109301
21,59023,1.28623,1.77207,1.03347,0.23418,0.54438,0.24253,0.11971,0.55662,723.183,0.46309,0.00107532,0.00107532,0.00107532
22,59347.9,1.28196,1.76719,1.03315,0.22451,0.59595,0.24295,0.15167,0.54731,1035.62,0.44885,0.00105764,0.00105764,0.00105764
23,59680.3,1.2581,1.73403,1.0225,0.22878,0.66758,0.27423,0.18211,0.54358,639.312,0.44504,0.00103995,0.00103995,0.00103995
24,60001.2,1.27775,1.82232,1.03363,0.23832,0.5753,0.28398,0.18407,0.55847,427.294,0.44654,0.00102227,0.00102227,0.00102227
25,60288.4,1.23645,1.9108,1.03052,0.26977,0.46205,0.24035,0.14545,0.55213,215.058,0.44559,0.00100459,0.00100459,0.00100459
26,60565.9,1.217,8.24755,1.01029,0.26298,0.59461,0.27565,0.17903,0.55556,522.984,0.4518,0.000986903,0.000986903,0.000986903
27,60860.7,1.25635,1.65727,1.03762,0.25539,0.69128,0.26973,0.17034,0.54877,678.209,0.45318,0.000969219,0.000969219,0.000969219
28,61164.1,1.25453,1.74916,1.02475,0.26349,0.47951,0.29854,0.19561,0.54,348.244,0.44035,0.000951535,0.000951535,0.000951535
29,61452.6,1.24549,1.76674,1.02041,0.25949,0.50009,0.28689,0.17853,0.54534,916.401,0.44159,0.000933851,0.000933851,0.000933851
30,61735,1.27574,1.60879,1.03929,0.21197,0.70427,0.31069,0.20664,0.53634,982.812,0.43792,0.000916168,0.000916168,0.000916168
31,62028.3,1.25381,1.68753,1.02856,0.27535,0.54314,0.31512,0.19903,0.54463,652.549,0.44916,0.000898484,0.000898484,0.000898484
32,62309.2,1.26364,1.60087,1.03901,0.32178,0.50665,0.34827,0.23759,0.54146,412.14,0.44551,0.0008808,0.0008808,0.0008808
33,62596.3,1.27624,1.61103,1.03831,0.3021,0.54068,0.32649,0.21063,0.55745,1027.85,0.4486,0.000863116,0.000863116,0.000863116
34,62878.8,1.25708,1.59488,1.0216,0.34383,0.53639,0.37906,0.24185,0.54368,343.153,0.43993,0.000845432,0.000845432,0.000845432
35,63161.8,1.23941,1.53432,1.01355,0.40041,0.49737,0.41439,0.27282,0.54582,330.237,0.44553,0.000827748,0.000827748,0.000827748
36,63445.5,1.23884,1.58599,1.03076,0.37377,0.50161,0.40823,0.26737,0.54582,168.587,0.44688,0.000810064,0.000810064,0.000810064
37,63726.3,1.25324,1.67395,1.0458,0.30226,0.56854,0.37666,0.23884,0.55012,537.632,0.44456,0.00079238,0.00079238,0.00079238
38,64012.5,1.22094,9.74601,0.99822,0.40047,0.53182,0.40843,0.26361,0.55553,180.755,0.4467,0.000774697,0.000774697,0.000774697
39,64291.4,1.24771,1.68272,1.02946,0.34965,0.50414,0.3708,0.23188,0.54541,534.602,0.44526,0.000757013,0.000757013,0.000757013
40,64570.1,1.21501,1.54847,1.01419,0.4163,0.51243,0.44358,0.29968,0.54052,500.258,0.44008,0.000739329,0.000739329,0.000739329
41,64835.8,1.24494,1.64773,1.03242,0.40497,0.54146,0.44768,0.29817,0.54214,266.095,0.43906,0.000721645,0.000721645,0.000721645
42,65097,1.25965,1.48548,1.03285,0.44818,0.51227,0.49245,0.31809,0.54021,537.923,0.44038,0.000703961,0.000703961,0.000703961
43,65367.6,1.22657,1.46255,1.01488,0.3466,0.71847,0.46463,0.29904,0.53547,1205.26,0.44091,0.000686277,0.000686277,0.000686277
44,65636.5,1.22595,1.51238,1.01496,0.54519,0.5442,0.5105,0.33776,0.5316,611.787,0.43609,0.000668593,0.000668593,0.000668593
45,65907.6,1.22707,1.47769,1.01281,0.41653,0.57302,0.49003,0.32354,0.54614,711.503,0.44227,0.000650909,0.000650909,0.000650909
46,66179.7,1.22206,1.57998,1.02182,0.51408,0.57743,0.48961,0.31962,0.5416,1044.06,0.43918,0.000633226,0.000633226,0.000633226
47,66451,1.24805,1.44098,1.02096,0.53252,0.54528,0.5566,0.37789,0.53183,234.965,0.43806,0.000615542,0.000615542,0.000615542
48,66723.8,1.26285,1.60273,1.03912,0.52194,0.6013,0.56264,0.38348,0.53935,411.495,0.43823,0.000597858,0.000597858,0.000597858
49,66993.7,1.23375,1.4826,1.00623,0.46638,0.53023,0.49155,0.32397,0.54323,263.138,0.44086,0.000580174,0.000580174,0.000580174
50,67255.9,1.19506,1.38502,0.99331,0.46274,0.69167,0.56387,0.3684,0.53389,940.6,0.43543,0.00056249,0.00056249,0.00056249
51,67518.2,1.22888,1.43147,1.02529,0.58321,0.56948,0.59936,0.39497,0.53642,146.939,0.43478,0.000544806,0.000544806,0.000544806
52,67779.4,1.19632,1.34811,1.00673,0.65326,0.54927,0.64165,0.4313,0.52805,100.899,0.43584,0.000527122,0.000527122,0.000527122
53,68041,1.19865,1.45087,1.0067,0.51481,0.56965,0.58478,0.38641,0.53155,178.094,0.43768,0.000509438,0.000509438,0.000509438
54,68305.5,1.21364,1.36977,1.01326,0.61551,0.59897,0.64318,0.44108,0.52913,523.36,0.43774,0.000491755,0.000491755,0.000491755
55,68568.8,1.20442,1.29382,1.01413,0.60399,0.63939,0.67394,0.45968,0.53043,512.361,0.43917,0.000474071,0.000474071,0.000474071
56,68821.6,1.21652,1.29371,1.0102,0.59328,0.60199,0.64677,0.43975,0.53144,627.5,0.43587,0.000456387,0.000456387,0.000456387
57,69072.8,1.22025,1.25057,1.02168,0.63397,0.64366,0.66885,0.456,0.52694,536.242,0.43827,0.000438703,0.000438703,0.000438703
58,69326,1.20657,1.25202,0.99818,0.71763,0.65005,0.71975,0.49022,0.52572,631.555,0.43627,0.000421019,0.000421019,0.000421019
59,69577.1,1.20978,1.30293,1.01094,0.68573,0.62457,0.71034,0.48259,0.52721,486.913,0.43637,0.000403335,0.000403335,0.000403335
60,69829.9,1.20756,1.26176,1.00892,0.73846,0.64959,0.73268,0.49444,0.52755,175.359,0.43731,0.000385651,0.000385651,0.000385651
61,70082.6,1.19895,1.20945,1.01704,0.69048,0.64743,0.71835,0.49559,0.52454,232.055,0.43602,0.000367967,0.000367967,0.000367967
62,70344.7,1.21017,1.23678,1.00497,0.75558,0.69275,0.76972,0.52281,0.52054,326.568,0.43507,0.000350284,0.000350284,0.000350284
63,70605.1,1.19867,1.15372,1.01294,0.74411,0.61452,0.74989,0.50669,0.51997,62.9635,0.43683,0.0003326,0.0003326,0.0003326
64,70883.8,1.19768,1.11014,0.99998,0.80183,0.73652,0.81389,0.55248,0.52162,129.066,0.43321,0.000314916,0.000314916,0.000314916
65,71157.2,1.16397,6.05457,0.97401,0.79089,0.71812,0.80625,0.54457,0.51953,203.72,0.43283,0.000297232,0.000297232,0.000297232
66,71444.4,1.22435,1.17996,1.01439,0.78423,0.70439,0.79994,0.54775,0.52091,139.645,0.43412,0.000279548,0.000279548,0.000279548
67,71717,1.18585,1.07427,0.99821,0.80404,0.6843,0.80563,0.55315,0.5199,536.151,0.43497,0.000261864,0.000261864,0.000261864
68,71985.8,1.19067,1.06851,0.99652,0.80341,0.7245,0.8115,0.56056,0.52382,630.498,0.4335,0.00024418,0.00024418,0.00024418
69,72247.1,1.19704,1.00177,0.99865,0.83472,0.73092,0.82611,0.56987,0.51876,466.91,0.43147,0.000226497,0.000226497,0.000226497
70,72509.4,1.18215,1.01472,0.98924,0.80727,0.75769,0.83415,0.57403,0.52119,233.945,0.43224,0.000208813,0.000208813,0.000208813
71,72761.9,1.1647,6.75407,0.9753,0.75351,0.72292,0.78966,0.53934,0.52663,71.4987,0.43261,0.000191129,0.000191129,0.000191129
72,73021.6,1.17897,3.59572,0.97927,0.81122,0.73522,0.81151,0.55333,0.52932,118.047,0.43356,0.000173445,0.000173445,0.000173445
73,73306.2,1.09232,20.3836,0.9108,0.8349,0.75288,0.83281,0.56704,0.52221,182.174,0.43355,0.000155761,0.000155761,0.000155761
74,73561,1.1344,4.54033,0.95405,0.85937,0.73391,0.83547,0.57833,0.51856,321.605,0.4325,0.000138077,0.000138077,0.000138077
75,73816,1.20067,0.89288,1.00841,0.84249,0.78084,0.85603,0.58738,0.51946,114.035,0.43265,0.000120393,0.000120393,0.000120393
76,74071.6,1.15771,13.4439,0.97459,0.85323,0.74077,0.8515,0.58505,0.52011,56.9026,0.4338,0.000102709,0.000102709,0.000102709
77,74335.1,1.15065,3.74326,0.97124,0.85631,0.79656,0.8573,0.59367,0.51851,205.546,0.43288,8.50255e-05,8.50255e-05,8.50255e-05
78,74594.9,1.15275,14.0711,0.97836,0.87452,0.78298,0.86037,0.59605,0.51754,249.423,0.4332,6.73416e-05,6.73416e-05,6.73416e-05
79,74849.3,1.15018,18.5267,0.97697,0.89432,0.78516,0.86534,0.59422,0.51673,176.791,0.43275,4.96578e-05,4.96578e-05,4.96578e-05
80,75112.7,1.09496,25.4039,0.93391,0.89009,0.79501,0.86848,0.59515,0.51733,109.792,0.43304,3.19739e-05,3.19739e-05,3.19739e-05
